"","imdb_title_id","title","original_title","year","date_published","genre","duration","country","language","director","writer","production_company","actors","description","avg_vote","votes","budget","usa_gross_income","worlwide_gross_income","metascore","reviews_from_users","reviews_from_critics"
"43428","tt0362227","The Terminal","The Terminal","2004","2004-09-03","Comedy",128,"USA","English, Bulgarian, Spanish, Russian, Mandarin, German, French","Steven Spielberg","Andrew Niccol, Sacha Gervasi","DreamWorks","Tom Hanks, Catherine Zeta-Jones, Stanley Tucci, Chi McBride, Diego Luna, Barry Shabaka Henley, Kumar Pallana, Zoe Saldana, Eddie Jones, Jude Ciccolella, Corey Reynolds, Guillermo Díaz, Rini Bell, Stephen Mendel, Valeriy Nikolaev","An Eastern European tourist unexpectedly finds himself stranded in JFK airport, and must take up temporary residence there.","7,4",396732,"$ 60000000","$ 77872883","$ 219100084",55,706,152
"43432","tt0362270","Le avventure acquatiche di Steve Zissou","The Life Aquatic with Steve Zissou","2004","2005-03-04","Action",119,"USA","English, Icelandic, Filipino, Portuguese, French, Tagalog, German, Italian","Wes Anderson","Wes Anderson, Noah Baumbach","Touchstone Pictures","Bill Murray, Owen Wilson, Cate Blanchett, Anjelica Huston, Willem Dafoe, Jeff Goldblum, Michael Gambon, Noah Taylor, Bud Cort, Seu Jorge, Robyn Cohen, Waris Ahluwalia, Niels Koizumi, Pawel Wdowczak, Matthew Gray Gubler","With a plan to exact revenge on a mythical shark that killed his partner, Oceanographer Steve Zissou (Bill Murray) rallies a crew that includes his estranged wife, a journalist, and a man who may or may not be his son.","7,3",175733,"$ 50000000","$ 24020403","$ 34808403",62,671,269
"43499","tt0363589","Elephant","Elephant","2003","2003-10-03","Crime",81,"USA","English, German","Gus Van Sant","Gus Van Sant","HBO Films","Alex Frost, Eric Deulen, John Robinson, Elias McConnell, Jordan Taylor, Carrie Finklea, Nicole George, Brittany Mountain, Alicia Miles, Kristen Hicks, Bennie Dixon, Nathan Tyson, Timothy Bottoms, Matt Malloy, Ellis Williams","Several ordinary high school students go through their daily routine as two others prepare for something more malevolent.","7,2",84470,"$ 3000000","$ 1266955","$ 10012022",70,706,216
"43507","tt0363771","Le cronache di Narnia - Il leone, la strega e l'armadio","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","2005","2005-12-21","Adventure",143,"UK, USA","English, German, Brazilian Sign Language","Andrew Adamson","Ann Peacock, Andrew Adamson","Walt Disney Pictures","Georgie Henley, Skandar Keynes, William Moseley, Anna Popplewell, Tilda Swinton, James McAvoy, Jim Broadbent, Kiran Shah, James Cosmo, Judy McIntosh, Elizabeth Hawthorne, Patrick Kake, Shane Rangi, Brandon Cook, Cassie Cook","Four kids travel through a wardrobe to the land of Narnia and learn of their destiny to free it with the guidance of a mystical lion.","6,9",358834,"$ 180000000","$ 291710957","$ 745013115",75,1508,286
"43554","tt0364725","Palle al balzo - Dodgeball","Dodgeball: A True Underdog Story","2004","2004-11-05","Comedy",92,"USA","English, German","Rawson Marshall Thurber","Rawson Marshall Thurber","Twentieth Century Fox","Vince Vaughn, Christine Taylor, Ben Stiller, Rip Torn, Justin Long, Stephen Root, Joel David Moore, Chris Williams, Alan Tudyk, Missi Pyle, Jamal Duff, Gary Cole, Jason Bateman, Hank Azaria, Al Kaplon","A group of misfits enter a Las Vegas dodgeball tournament in order to save their cherished local gym from the onslaught of a corporate health fitness chain.","6,7",225525,"$ 20000000","$ 114326736","$ 168423227",55,409,146
"43734","tt0367882","Indiana Jones e il regno del teschio di cristallo","Indiana Jones and the Kingdom of the Crystal Skull","2008","2008-05-23","Action",122,"USA","English, German, Russian","Steven Spielberg","David Koepp, George Lucas","Paramount Pictures","Harrison Ford, Cate Blanchett, Karen Allen, Shia LaBeouf, Ray Winstone, John Hurt, Jim Broadbent, Igor Jijikine, Dimitri Diatchenko, Ilia Volok, Emmanuel Todorov, Pasha D. Lychnikoff, Andrew Divoff, Venya Manzyuk, Alan Dale","In 1957, archaeologist and adventurer Dr. Henry ""Indiana"" Jones, Jr. is called back into action and becomes entangled in a Soviet plot to uncover the secret behind mysterious artifacts known as the Crystal Skulls.","6,1",417120,"$ 185000000","$ 317101119","$ 790653942",65,2173,470
"43736","tt0367959","Hannibal Lecter - Le origini del male","Hannibal Rising","2007","2007-02-09","Adventure",121,"UK, Czech Republic, France, Italy, USA","English, German, Russian","Peter Webber","Thomas Harris, Thomas Harris","Young Hannibal Productions","Aaran Thomas, Gaspard Ulliel, Li Gong, Helena-Lia Tachovská, Richard Leaf, Dominic West, Rhys Ifans, Michelle Wade, Richard Brake, Martin Hub, Ingeborga Dapkunaite, Kevin McKidd, Joerg Stadler, Stephen Walters, Ivan Marevich","After the death of his parents during World War II, young Hannibal Lecter moves in with his beautiful aunt and begins plotting revenge on the barbarians responsible for his sister's death.","6,2",102145,"$ 50000000","$ 27670986","$ 82169884",35,419,115
"43909","tt0372183","The Bourne Supremacy","The Bourne Supremacy","2004","2004-09-24","Action",108,"USA, Germany","English, Russian, German, Italian","Paul Greengrass","Robert Ludlum, Tony Gilroy","Universal Pictures","Matt Damon, Franka Potente, Brian Cox, Julia Stiles, Karl Urban, Gabriel Mann, Joan Allen, Marton Csokas, Tom Gallop, John Bedford Lloyd, Ethan Sandler, Michelle Monaghan, Karel Roden, Tomas Arana, Oksana Akinshina","When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.","7,7",427227,"$ 75000000","$ 176241941","$ 290835269",73,849,248
"43960","tt0373283","Saints and Soldiers","Saints and Soldiers","2003","2005-03-25","Action",90,"USA","English, German","Ryan Little","Geoffrey Panos, Geoffrey Panos","Go Films","Corbin Allred, Alexander Polinsky, Kirby Heyborne, Larry Bagby, Peter Holden, Ethan Vincent, Melinda Renee, Ruby Chase, Jeff Birk, Benjamin Gourley, Tane Williams, Randy Beard, Curt Doussett, Michael Buster, M. Casey Reeves","Four American soldiers and one Brit fighting in Europe during World War II struggle to return to Allied territory after being separated from U.S. forces during the historic Malmedy Massacre.","6,7",19789,"$ 780000","$ 1310470","$ 1310470",56,164,33
"44112","tt0376136","The Rum Diary - Cronache di una passione","The Rum Diary","2011","2012-04-24","Comedy",119,"USA, UK","English, Spanish, German","Bruce Robinson","Bruce Robinson, Hunter S. Thompson","GK Films","Johnny Depp, Aaron Eckhart, Michael Rispoli, Amber Heard, Richard Jenkins, Giovanni Ribisi, Amaury Nolasco, Marshall Bell, Bill Smitrovich, Julian Holloway, Bruno Irizarry, Enzo Cilenti, Aaron Lustig, Tisuby González, Natalia Rivera","American journalist Paul Kemp takes on a freelance job in Puerto Rico for a local newspaper during the 1960s and struggles to find a balance between island culture and the expatriates who live there.","6,2",97842,"$ 45000000","$ 13109815","$ 30134958",56,181,283
"44167","tt0377092","Mean Girls","Mean Girls","2004","2004-08-27","Comedy",97,"USA, Canada","English, German, Vietnamese, Swahili","Mark Waters","Rosalind Wiseman, Tina Fey","Paramount Pictures","Lindsay Lohan, Rachel McAdams, Tina Fey, Tim Meadows, Amy Poehler, Ana Gasteyer, Lacey Chabert, Lizzy Caplan, Daniel Franzese, Neil Flynn, Jonathan Bennett, Amanda Seyfried, Rajiv Surendra, Elana Shilling, Graham Kartna","Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.","7",324817,"$ 17000000","$ 86058055","$ 130125971",66,652,126
"44207","tt0377981","Gnomeo & Giulietta","Gnomeo & Juliet","2011","2011-03-16","Animation",84,"UK, USA, Canada","English, Japanese, Spanish, German","Kelly Asbury","Rob Sprackling, Johnny Smith","Touchstone Pictures","James McAvoy, Emily Blunt, Ashley Jensen, Michael Caine, Matt Lucas, Jim Cummings, Maggie Smith, Jason Statham, Ozzy Osbourne, Stephen Merchant, Patrick Stewart, Julie Walters, Hulk Hogan, Kelly Asbury, Richard Wilson","Separated by a garden fence and a feud, are blue gnomes on one side and red gnomes on the other. This doesn't stop blue Gnomeo and red Juliet from falling in love with each other. Do they have a future together?","5,9",51582,"$ 36000000","$ 99967670","$ 193967670",53,127,209
"44296","tt0379765","Drum","Drum","2004","2005-07-22","Thriller",94,"USA, South Africa, Germany","English, Afrikaans, German","Zola Maseko","Jason Filardi","Armada Pictures","Taye Diggs, Gabriel Mann, Tumisho Masha, Moshidi Motshegwa, Jason Flemyng, Zola, Fezile Mpela, Greg Melvill-Smith, Lindani Nkosi, Keketso Semoko, Tessa Jubber, Bonnie Henna, Tanya Baleson, Emgee Pretorius, Israel Matseke-Zulu","A hot-shot journalist is swept up in a movement to challenge Apartheid in 1950s South Africa.","6,4",334,"$ 3600","","",NA,4,12
"44301","tt0379865","In amore niente regole","Leatherheads","2008","2008-04-11","Comedy",114,"USA, Germany","English, German","George Clooney","Duncan Brantley, Rick Reilly","Universal Pictures","John Krasinski, David de Vries, Rick Forrester, Craig S. Harper, George Clooney, Malcolm Goodwin, Matt Bushell, Tommy Hinkley, Tim Griffin, Robert Baker, Nick Paonessa, Lance Barber, Wayne Duvall, Nicholas Bourdages, Jason Drago","In 1925, an enterprising pro football player convinces America's too-good-to-be-true college football hero to play for his team and keep the league from going under.","6",30766,"$ 58000000","$ 31373938","$ 41319039",56,128,183
"44362","tt0381061","Casino Royale","Casino Royale","2006","2007-01-05","Action",144,"UK, Czech Republic, USA, Germany, Bahamas","English, Serbian, German, Italian, French","Martin Campbell","Neal Purvis, Robert Wade","Columbia Pictures","Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench, Jeffrey Wright, Giancarlo Giannini, Caterina Murino, Simon Abkarian, Isaach De Bankolé, Jesper Christensen, Ivana Milicevic, Tobias Menzies, Claudio Santamaria, Sebastien Foucan, Malcolm Sinclair","After earning 00 status and a licence to kill, Secret Agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.","8",569968,"$ 150000000","$ 167445960","$ 616501619",80,2409,350
"44463","tt0382721","The Fallen","The Fallen","2004","2004","Action",112,"USA, Germany, Italy","English, German, Italian","Ari Taub","Nick Day, Caio Ribeiro","Brooklyn Independent Studios","Christopher R Swanson, Daniel Asher, Brian Bancale, C.J. Barkus, Maurizio Benazzo, Ida Bernardini, Gianluca Bianco, Matthew Black, Paul Bomba, Davide Borella, Kenny Bowton, Justin Brett, Bob Brown, Hans-Dieter Brückner, Achim Buchner","The story of ordinary men during WWII as seen from three different points of View.","5,1",873,"$ 600000","","$ 88245",62,33,14
"44491","tt0383028","Synecdoche, New York","Synecdoche, New York","2008","2014-06-19","Drama",124,"USA","English, German","Charlie Kaufman","Charlie Kaufman","Sidney Kimmel Entertainment","Philip Seymour Hoffman, Catherine Keener, Sadie Goldstein, Tom Noonan, Peter Friedman, Charles Techman, Josh Pais, Daniel London, Robert Seay, Michelle Williams, Stephen Adly Guirgis, Samantha Morton, Hope Davis, Frank Girardeau, Jennifer Jason Leigh","A theatre director struggles with his work, and the women in his life, as he creates a life-size replica of New York City inside a warehouse as part of his new play.","7,6",79732,"$ 20000000","$ 3083538","$ 4658401",67,329,249
"44682","tt0387131","The Constant Gardener - La cospirazione","The Constant Gardener","2005","2006-02-24","Drama",129,"UK, Germany, Kenya, France, USA, China","English, Italian, Swahili, German","Fernando Meirelles","Jeffrey Caine, John le Carré","Focus Features","Ralph Fiennes, Rachel Weisz, Hubert Koundé, Danny Huston, Daniele Harford, Packson Ngugi, Damaris Itenyo Agweyu, Bernard Otieno Oduor, Bill Nighy, Keith Pearson, John Sibi-Okumu, Donald Sumpter, Archie Panjabi, Nick Reding, Gerard McSorley","A widower is determined to get to the bottom of a potentially explosive secret involving his wife's murder, big business, and corporate corruption.","7,4",130476,"$ 25000000","$ 33579797","$ 82466670",82,593,226
"44715","tt0387877","Black Dahlia","The Black Dahlia","2006","2006-09-29","Crime",121,"USA, Germany, France","English, German","Brian De Palma","Josh Friedman, James Ellroy","Universal Pictures","Josh Hartnett, Scarlett Johansson, Aaron Eckhart, Hilary Swank, Mia Kirshner, Mike Starr, Fiona Shaw, Patrick Fischler, James Otis, John Kavanagh, Troy Evans, Anthony Russell, Pepe Serna, Angus MacInnes, Rachel Miner","Two policemen see their personal and professional lives fall apart in the wake of the ""Black Dahlia""","5,6",70639,"$ 50000000","$ 22545080","$ 49332692",49,664,248
"44806","tt0389557","Black Book","Zwartboek","2006","2007-02-02","Drama",145,"Netherlands, Germany, UK, Belgium","Dutch, German, English, Hebrew","Paul Verhoeven","Gerard Soeteman, Paul Verhoeven","Fu Works","Carice van Houten, Sebastian Koch, Thom Hoffman, Halina Reijn, Waldemar Kobus, Derek de Lint, Christian Berkel, Dolf de Vries, Peter Blok, Michiel Huisman, Ronald Armbrust, Frank Lammers, Matthias Schoenaerts, Johnny de Mol, Xander Straat","In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance.","7,7",71558,"$ 21000000","$ 4398532","$ 26768563",71,251,238
"45120","tt0399295","Lord of War","Lord of War","2005","2005-11-18","Action",122,"USA, Germany, France","English, Ukrainian, German, Spanish, Russian, French, Arabic, Turkish","Andrew Niccol","Andrew Niccol","Entertainment Manufacturing Company","Nicolas Cage, Bridget Moynahan, Jared Leto, Shake Tukhmanyan, Jean-Pierre Nshanian, Jared Burke, Eric Uys, David Shumbris, Stewart Morgan, Jasper Lenz, Stephen Gregor, Kobus Marx, Stephan De Abreu, Jeremy Crutchley, Ian Holm","An arms dealer confronts the morality of his work as he is being chased by an INTERPOL Agent.","7,6",289908,"$ 50000000","$ 24149632","$ 72617068",62,485,157
"45138","tt0399854","La visionetele 2","Vizontele Tuuba","2003","2003","Comedy",111,"Turkey","Turkish, Dutch, English, French, German","Yilmaz Erdogan","Yilmaz Erdogan","Besiktas Kültür Merkezi (BKM)","Yilmaz Erdogan, Demet Akbag, Altan Erkekli, Tarik Akan, Tuba Ünsal, Idil Firat, Tolga Çevik, Iclal Aydin, Cezmi Baskin, Bican Günalan, Salih Kalyon, Sener Kökkaya, Zeynep Tokus, Meral Çetinkaya, Bülent Inal","Vizontele Tuuba is the sequel to Vizontele and recounts the 1980 military coup, the repercussions of the coup in a small southeastern town in Turkey. This is a very confusing period: every ...","6,5",14058,"$ 3000000","","$ 13954476",NA,4,5
"45287","tt0403358","I guardiani della notte","Nochnoy dozor","2004","2005-10-14","Action",114,"Russia","Russian, German","Timur Bekmambetov","Timur Bekmambetov, Laeta Kalogridis","Bazelevs Production","Konstantin Khabenskiy, Vladimir Menshov, Valeriy Zolotukhin, Mariya Poroshina, Galina Tyunina, Yuriy Kutsenko, Aleksey Chadov, Zhanna Friske, Ilya Lagutenko, Viktor Verzhbitskiy, Rimma Markova, Mariya Mironova, Aleksey Maklakov, Aleksandr Samoylenko, Dmitriy Martynov","A fantasy-thriller set in present-day Moscow where the respective forces that control daytime and nighttime do battle.","6,4",51876,"$ 4200000","$ 1502188","$ 50336279",58,317,235
"45304","tt0403579","Svoi","Svoi","2004","2004-11-11","Action",111,"Russia","Russian, German","Dmitriy Meskhiev","Valentin Chernykh","Slovo","Konstantin Khabenskiy, Sergey Garmash, Ben Perino, Mikhail Evlanov, Bohdan Stupka, Natalya Surkova, Anna Mikhalkova, Fedor Bondarchuk, Sergei Dyachkov, Aleksandr Polovtsev, Anna Belova, Oksana Glushkova, Yuriy Zaytsev, Sergey Kozik, Johannes Brand","With the battle line far away in the east, three soldiers who have managed to escape from captivity find it difficult to hide. An old man offers to help them because one of them, the sniper, is his son.","7,5",1215,"$ 2500000","","",NA,8,7
"45306","tt0403645","Utomlennye solntsem 2","Utomlennye solntsem 2","2010","2010-04-22","Drama",181,"Russia","Russian, German","Nikita Mikhalkov","Nikita Mikhalkov, Vladimir Moiseenko","Three T Productions","Nikita Mikhalkov, Oleg Menshikov, Nadezhda Mikhalkova, Sergey Makovetskiy, Dmitriy Dyuzhev, Artur Smolyaninov, Andrey Merzlikin, Maksim Sukhanov, Evgeniy Stychkin, Evgeniy Mironov, Andrey Panin, Sergey Garmash, Viktoriya Tolstoganova, Artyom Mikhalkov, Valeriy Zolotukhin","A look at the horrors of the Eastern Front of World War II from the points of view of repressed soldier of penal battalion and his young daughter, who stayed behind enemy lines.","4,2",4084,"$ 45000000","","$ 8266778",NA,31,21
"45323","tt0404032","The Exorcism of Emily Rose","The Exorcism of Emily Rose","2005","2005-10-07","Drama",119,"USA","English, Syriac, German, Greek, Hebrew, Latin, Aramaic","Scott Derrickson","Paul Harris Boardman, Scott Derrickson","Screen Gems","Laura Linney, Tom Wilkinson, Campbell Scott, Jennifer Carpenter, Colm Feore, Joshua Close, Kenneth Welsh, Duncan Fraser, JR Bourne, Mary Beth Hurt, Henry Czerny, Shohreh Aghdashloo, Steve Archer, Arlene Belcastro, David Berner","A lawyer takes on a negligent homicide case involving a priest who performed an exorcism on a young girl.","6,7",117192,"$ 19000000","$ 75072454","$ 145166804",46,557,246
"45353","tt0405094","Le vite degli altri","Das Leben der Anderen","2006","2007-04-06","Drama",137,"Germany, France","German","Florian Henckel von Donnersmarck","Florian Henckel von Donnersmarck","Wiedemann & Berg Filmproduktion","Martina Gedeck, Ulrich Mühe, Sebastian Koch, Ulrich Tukur, Thomas Thieme, Hans-Uwe Bauer, Volkmar Kleinert, Matthias Brenner, Charly Hübner, Herbert Knaup, Bastian Trost, Marie Gruber, Volker Michalowski, Werner Daehn, Martin Brambach","In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.","8,4",349642,"$ 2000000","$ 11286112","$ 77356942",89,511,223
"45362","tt0405308","Shadows of the Dead","Shadows of the Dead","2004","2004","Horror",92,"USA","French, German, English","Carl Lindbergh","Carl Lindbergh","ANOC Productions","Jonathan Flanigan, Beverly Hynds, Fred Dekom, Jason Schwartz, Ryan Christopher, Mark Harari, Nick Schirmer, Carly Aguira, Mary Marshall, Cassandra Smith, Jennifer Hatley, Brianna Nakutis, Cindy Gonzalez, Paul Kessler, Brad Maynard","A woodland holiday turns into a hellish trip for a couple who discover a dead body among the branches. However, it transpires that the body is far from dead, and the couple are suddenly infected by a body-ravaging disease.","3,1",343,"$ 750000","","",NA,65,6
"45481","tt0408306","Munich","Munich","2005","2006-01-27","Action",164,"France, Canada, USA","English, German, French, Hebrew, Arabic, Italian, Greek, Russian, Dutch","Steven Spielberg","Tony Kushner, Eric Roth","DreamWorks","Eric Bana, Daniel Craig, Ciarán Hinds, Mathieu Kassovitz, Hanns Zischler, Ayelet Zurer, Geoffrey Rush, Gila Almagor, Michael Lonsdale, Mathieu Amalric, Moritz Bleibtreu, Valeria Bruni Tedeschi, Meret Becker, Marie-Josée Croze, Yvan Attal","Based on the true story of the Black September aftermath, about the five men chosen to eliminate the ones responsible for that fateful day.","7,5",208522,"$ 70000000","$ 47403685","$ 130982129",74,860,226
"45490","tt0408790","Flightplan - Mistero in volo","Flightplan","2005","2005-11-04","Drama",98,"USA","English, French, German, Arabic, Italian, Japanese","Robert Schwentke","Peter A. Dowling, Billy Ray","Touchstone Pictures","Jodie Foster, Peter Sarsgaard, Sean Bean, Kate Beahan, Michael Irby, Assaf Cohen, Erika Christensen, Shane Edelman, Mary Gallagher, Haley Ramm, Forrest Landis, Jana Kolesárová, Brent Sexton, Marlene Lawston, Judith Scott","A bereaved woman and her daughter are flying home from Berlin to America. At 30,000 feet, the child vanishes, and nobody will admit she was ever on the plane.","6,3",150163,"$ 55000000","$ 89707299","$ 223387299",53,625,227
"46103","tt0422779","Murder-Set-Pieces","Murder-Set-Pieces","2004","2008-04-01","Horror",105,"USA","English, German","Nick Palumbo","Nick Palumbo","Fright Flix Productions","Sven Garrett, Cerina Vincent, Tony Todd, Gunnar Hansen, Edwin Neal, Jade Risser, Valerie Baber, Destiny St. Claire, Maria Keough, Renee Baio, Lauren Palac, Andrea Mitchell, Jessie DeRoock, LeAnn Clinton, Shandee Lang","A fashion photographer exposes his demented childhood and zooms his evil lens on the oldest profession under the moon, in quite possibly the most notorious serial killer film ever made.","3,7",3975,"$ 2000000","","",13,123,59
"46160","tt0424205","Joyeux Noël - Una verità dimenticata dalla storia","Joyeux Noël","2005","2006-01-20","Drama",116,"France, Germany, UK, Belgium, Romania, Norway, Japan, USA","French, German, English, Latin","Christian Carion","Christian Carion","Nord-Ouest Films","Diane Kruger, Natalie Dessay, Benno Fürmann, Rolando Villazón, Guillaume Canet, Gary Lewis, Dany Boon, Daniel Brühl, Lucas Belvaux, Alex Ferns, Steven Robertson, Frank Witter, Bernard Le Coq, Ian Richardson, Thomas Schmauser","In December 1914, an unofficial Christmas truce on the Western Front allows soldiers from opposing sides of the First World War to gain insight into each other's way of life.","7,7",27139,"$ 22000000","$ 1054361","$ 17709155",70,154,124
"46361","tt0428038","Sweet Land","Sweet Land","2005","2008-07-31","Drama",110,"USA","English, German, Norwegian","Ali Selim","Will Weaver, Ali Selim","120dB Films","Elizabeth Reaser, Lois Smith, Patrick Heusinger, Stephen Pelinski, Tim Guinee, Robert Hogan, Alan Cumming, Paul Sand, Jodie Markell, Sage Kermes, Kirsten Frantzich, Stephen Yoakam, Karen Landry, James Cada, Debbie DeLisi","In 1920, Inge, a German national, travels from Norway to rural Minnesota for her arranged marriage to Olaf, a Norwegian farmer; bureaucracy and prejudice cause major complications.","7,1",3605,"$ 1000000","$ 1706325","$ 1843537",75,65,42
"46421","tt0429493","A-Team","The A-Team","2010","2010-06-18","Action",117,"USA, UK","English, Spanish, French, Swahili, German","Joe Carnahan","Joe Carnahan, Brian Bloom","Twentieth Century Fox","Liam Neeson, Bradley Cooper, Jessica Biel, Quinton 'Rampage' Jackson, Sharlto Copley, Patrick Wilson, Gerald McRaney, Henry Czerny, Yul Vazquez, Brian Bloom, Maury Sterling, Terry Chen, Omari Hardwick, David Hugghins, Jacob Blair","A group of Iraq War veterans look to clear their name with the U.S. Military, who suspect the four men of committing a crime for which they were framed.","6,7",243142,"$ 110000000","$ 77222099","$ 177238796",47,395,326
"46453","tt0430264","Pervyy posle Boga","Pervyy posle Boga","2005","2005-11-10","Action",99,"Russia","Russian, French, German","Vasiliy Chiginskiy","Ilya Avramenko, Igor Evsukov","Fond Myhaila Kalatozova","Dmitriy Orlov, Mikheil Gomiashvili, Vladimir Gostyukhin, Elizaveta Boyarskaya, Irina Björklund, Sergey Gorobchenko, Yuriy Stepanov, Viktor Sukhorukov, Nina Ruslanova, Sergey Rubeko, Dmitri Rudkov, Vitaliy Abdulov, Pyotr Stupin, Ekaterina Vulichenko, Tatyana Vedeneeva","The film is based on the true story of Captain Marinesku and set in 1944 during WWII at the Russian Navy Base. Young and beautiful Tanka is in love with Aleksandr Marinin, the brave Captain...","5,5",301,"$ 3400000","","$ 1508040",NA,NA,2
"46553","tt0432314","Attacco a Leningrado","Leningrad","2009","2007","Drama",110,"Russia, UK","Russian, English, German","Aleksandr Buravskiy","Aleksandr Buravskiy","Channel One Russia","Mira Sorvino, Armin Mueller-Stahl, Olga Sutulova, Gabriel Byrne, Mikhail Efremov, Aleksandr Abdulov, Vladimir Ilin, Alyona Stebunova, Sergey Koltakov, David Verrey, Viktor Smirnov, Vadim Loginov, Marat Basharov, Zhanna Nesterenko, Aleksandra Kulikova","When in 1941 Nazi Germany invaded the Soviet Union, their troops quickly besieged Leningrad. Foreign journalists are evacuated but one of them, Kate Davies, is presumed dead and misses the ...","6,1",4380,"$ 7000000","","",NA,27,6
"46669","tt0435705","Next","Next","2007","2008-04-04","Action",96,"USA","English, French, German, Serbian","Lee Tamahori","Gary Goldman, Jonathan Hensleigh","Paramount Pictures","Nicolas Cage, Julianne Moore, Jessica Biel, Thomas Kretschmann, Tory Kittles, José Zúñiga, Jim Beaver, Jason Butler Harner, Michael Trucco, Enzo Cilenti, Laetitia Danielle, Nicolas Pajon, Sergej Trifunovic, Charles Rahi Chun, Patricia Prata","A Las Vegas magician who can see into the future is pursued by FBI agents seeking to use his abilities to prevent a nuclear terrorist attack.","6,2",146484,"$ 70000000","$ 18211013","$ 77621983",42,343,186
"46694","tt0436364","Good: L'indifferenza del bene","Good","2008","2008-12-11","Drama",92,"UK, Germany, Hungary, Cayman Islands","English, German, French","Vicente Amorim","C.P. Taylor, John Wrathall","Good Films Collective","Viggo Mortensen, Jason Isaacs, Jodie Whittaker, Steven Mackintosh, Mark Strong, Gemma Jones, Anastasia Hille, Ruth Gemmell, Ralph Riach, Steven Elder, Kevin Doyle, David de Keyser, Guy Henry, Adrian Schiller, Rick Warden","John Halder, a German literature professor in the 1930s, is initially reluctant to accept the ideas of the Nazi Party. He is pulled in different emotional directions by his wife, mother, mistress and Jewish friend.","6,2",6758,"$ 15000000","$ 27276","$ 1552024",40,48,64
"47230","tt0450278","Hostel","Hostel","2005","2006-02-24","Horror",94,"USA, Czech Republic","English, Czech, German, Dutch, Slovak, Japanese, Icelandic, Russian, Spanish","Eli Roth","Eli Roth","Next Entertainment","Jay Hernandez, Derek Richardson, Eythor Gudjonsson, Barbara Nedeljakova, Jan Vlasák, Jana Kaderabkova, Jennifer Lim, Keiko Seiko, Lubomír Bukový, Jana Havlickova, Rick Hoffman, Petr Janis, Takashi Miike, Patrik Zigo, Milda Jedi Havlas","Three backpackers head to a Slovak city that promises to meet their hedonistic expectations, with no idea of the hell that awaits them.","5,9",166799,"$ 4800000","$ 47326473","$ 81979826",55,1572,127
"47293","tt0451279","Wonder Woman","Wonder Woman","2017","2017-06-01","Action",141,"USA, China, Hong Kong","English, German, Dutch, French, Spanish, Chinese, Greek, Ancient (to 1453), North American Indian","Patty Jenkins","Allan Heinberg, Zack Snyder","Warner Bros.","Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright, Danny Huston, David Thewlis, Saïd Taghmaoui, Ewen Bremner, Eugene Brave Rock, Lucy Davis, Elena Anaya, Lilly Aspell, Lisa Loven Kongsli, Ann Wolfe, Ann Ogbomo","When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.","7,4",535903,"$ 149000000","$ 412563408","$ 821847012",76,2200,713
"47338","tt0452624","Intrigo a Berlino","The Good German","2006","2007-03-02","Drama",105,"USA","English, German, Russian","Steven Soderbergh","Paul Attanasio, Joseph Kanon","Sunset Gower Studios","George Clooney, Cate Blanchett, Tobey Maguire, Beau Bridges, Tony Curran, Leland Orser, Jack Thompson, Robin Weigert, Ravil Isyanov, Christian Oliver, Dave Power, Don Pugsley, Dominic Comperatore, John Roeder, J. Paul Boehmer","While in post-war Berlin to cover the Potsdam Conference, an American military journalist is drawn into a murder investigation which involves his former mistress and his driver.","6",23778,"$ 32000000","$ 1308696","$ 5914908",49,180,189
"47487","tt0455590","L'ultimo re di Scozia","The Last King of Scotland","2006","2007-02-16","Biography",123,"UK, Germany","English, French, German, Swahili","Kevin Macdonald","Peter Morgan, Jeremy Brock","Fox Searchlight Pictures","Forest Whitaker, James McAvoy, Kerry Washington, Gillian Anderson, Simon McBurney, David Oyelowo, Stephen Rwangyezi, Abby Mukiibi Nkaaga, Adam Kotz, Sam Okelo, Sarah Nagayi, Chris Wilson, Dick Stockley, Barbara Rafferty, David Ashton","Based on the events of the brutal Ugandan dictator","7,7",172843,"$ 6000000","$ 17606684","$ 48618191",74,370,252
